nome;cep
Rua Divo D Oliveira;96213164
Rua Doutor Othelo Gonçalves;96213210
Rua Doutor Paulino de Mello Dutra;96213190
Rua Eduardo Araújo;96213040
Rua Francisco Dantolo Seta;96213100
Rua Gonçalo Amarante da Silva;96213162
Rua João da Silva Silveira;96213110
Rua João de Magalhães;96213030
Rua Jurai Xavier da Silva;96213230
Rua Leopoldo Froes;96213200
Rua Manoel Gonzales Lopes;96213240
Rua Marechal Eurico Gaspar Dutra;96213220
Rua Padre Alievi;96213070
Rua Pandiá Calógeras;96213022
Rua Professor Henrique Farjat;96213060
Rua Professor Mano;96213140
Rua Professora Suelly Costa Lopes do Valle Zogbi;96213090
Rua Ricardo Ricaman;96213080
Rua Torquatro Pontes;96213180
Rua Alberto de Oliveira;96212560
Rua Alberto Torres;96212740
Rua Antônio João;96212610
Rua Barão de Santo Ângelo;96212650
Rua Barão do Ladario;96212700
Rua Bernardo Taveira;96212690
Rua Coelho Neto;96212620
Rua Coronel Camisão;96212500
Rua Cristóvão Pereira;96212710
Rua dos Carijós;96212550
Rua dos Charruas;96212570
Rua dos Minuanos;96212540
Rua dos Tapes;96212580
Rua Eduardo Araújo;96212680
Rua Felipe Camarão;96212590
Rua General Boehm;96212720
Rua Guarda-Marinha Lima Barreto;96212600
Rua João de Magalhães;96212670
Rua Jockey Clube;96212730
Rua Pandiá Calógeras;96212660
Rua Pinto da Rocha;96212530
Rua Quintino Bocaiúva;96212490
Rua Rodrigo Duarte;96212640
Rua Saturnino de Brito;96212630
Rua Teixeira de Freitas;96212510
Avenida Engenheiro Otero (Vl Mangueira);96204002
Avenida Principal (Quarta Secção da Barra);96204050
Beco da Onze (Quarta Secção da Barra);96204162
Porto Quarta Secção da Barra;96204000
Rua Augusto Maia (Vl Mangueira);96204018
Rua Cinco (Quarta Secção da Barra);96204100
Rua Dez (Quarta Secção da Barra);96204150
Rua Dezenove (Quarta Secção da Barra );96204240
Rua Dezesseis (Quarta Secção da Barra);96204210
Rua Dezessete (Quarta Secção da Barra);96204220
Rua Dezoito (Quarta Secção da Barra);96204230
Rua do Farol (Quarta Secção da Barra);96204204
Rua Dois (Quarta Secção da Barra);96204070
Rua Doze (Quarta Secção da Barra);96204170
Rua João Colins (Vl Mangueira);96204004
Rua Manoel José (Vl Mangueira);96204012
Rua Maria Francisca (Vl Mangueira);96204014
Rua Maria Rosa (Vl Mangueira);96204005
Rua Mateus da Costa Marques (Quarta Secção da Barra);96204090
Rua Nove (Quarta Secção da Barra);96204140
Rua Oito (Quarta Secção da Barra);96204130
Rua Onze (Quarta Secção da Barra);96204160
Rua Quatorze (Quarta Secção da Barra);96204190
Rua Quinze (Quarta Secção da Barra);96204200
Rua Romualdo Silva (Vl Mangueira);96204008
Rua Rubem Martins (Vl Mangueira);96204022
Rua Rubens Corrêa (Vl Mangueira);96204024
Rua Seis (Quarta Secção da Barra);96204110
Rua Sete (Quarta Secção da Barra);96204120
Rua Três (Quarta Secção da Barra);96204080
Rua Treze (Quarta Secção da Barra);96204180
Rua Trinta e Cinco (Quarta Secção da Barra);96204052
Rua Um (Quarta Secção da Barra);96204060
Rua Vinte (Quarta Secção da Barra);96204250
Rua Vinte e Dois (Quarta Secção da Barra);96204270
Rua Vinte e Três (Quarta Secção da Barra);96204280
Rua Vinte e Um (Quarta Secção da Barra);96204260
Travessa Ernani Espinele (Vl Mangueira);96204019
Travessa João Batista Ferrareto (Vl Mangueira);96204016
Travessa Miguel (Vl Mangueira);96204006
Travessa Principal (Quarta Secção da Barra);96204058
Travessa Quatro (Quarta Secção da Barra);96204094
Rua Doutor Carlos Barbosa;96212330
Rua Visconde do Rio Grande;96211490
Avenida Italia;96203195
Avenida Presidente Vargas;96202336
Avenida Presidente Vargas;96202188
Rua Walter Albrecht;96211010
Rua Projetada;96211500
Estrada RG 165;96222899
Estrada RG 460;96222899
Rua Jose de Alencar;96211370
Estrada Povo Novo (Barra Falsa);96224000
Estrada RG 365 (Pesqueiro);96224899
Avenida Italia;96203000
Avenida Almirante Maximiano da Fonseca;96204040
Avenida Almirante Maximiano da Fonseca;96204040
Rua 3;96217103
Estrada Povo Novo (Capão Seco);96224390
Travessa 117;96217260
Rua das Cocheiras;96200000
Rua Enfermeiro Marino Afonso Gomes;96204050
Rua Arlindo Rodrigues da Silva;96200000
Avenida Ipiranga;96202900
